r [R_sun]      e #density [cm**-3] e #density [eV**3]  
0.3405         3.9907e+24          30.5089             
0.341          3.96788e+24         30.3345             
0.3415         3.94561e+24         30.1642             
0.342          3.92334e+24         29.9939             
0.3425         3.90104e+24         29.8235             
0.343          3.87877e+24         29.6532             
0.3435         3.85699e+24         29.4867             
0.344          3.83523e+24         29.3203             
0.3445         3.81345e+24         29.1538             
0.345          3.79169e+24         28.9875             
0.3455         3.77043e+24         28.825              
0.346          3.74919e+24         28.6626             
0.3465         3.72793e+24         28.5                
0.347          3.70669e+24         28.3376             
0.3475         3.68595e+24         28.1791             
0.348          3.66522e+24         28.0206             
0.3485         3.64448e+24         27.862              
0.349          3.62376e+24         27.7036             
0.3495         3.60301e+24         27.545              
0.35           3.58278e+24         27.3904             
0.3505         3.56258e+24         27.2359             
0.351          3.54235e+24         27.0813             
0.3515         3.52212e+24         26.9266             
0.352          3.50243e+24         26.7761             
0.3525         3.48272e+24         26.6254             
0.353          3.46301e+24         26.4747             
0.3535         3.44332e+24         26.3242             
0.354          3.42413e+24         26.1775             
0.3545         3.40442e+24         26.0268             
0.355          3.38523e+24         25.8801             
0.3555         3.36606e+24         25.7335             
0.356          3.34738e+24         25.5908             
0.3565         3.32819e+24         25.444              
0.357          3.30952e+24         25.3013             
0.3575         3.29084e+24         25.1585             
0.358          3.27217e+24         25.0157             
0.3585         3.25351e+24         24.8731             
0.359          3.23536e+24         24.7343             
0.3595         3.2172e+24          24.5955             
0.36           3.19904e+24         24.4567             
0.3605         3.18089e+24         24.3179             
0.361          3.16273e+24         24.1791             
0.3615         3.14509e+24         24.0442             
0.362          3.12745e+24         23.9094             
0.3625         3.10981e+24         23.7745             
0.363          3.09219e+24         23.6398             
0.3635         3.07455e+24         23.5049             
0.364          3.05743e+24         23.374              
0.3645         3.04031e+24         23.2432             
0.365          3.02319e+24         23.1123             
0.3655         3.00607e+24         22.9814             
0.366          2.98894e+24         22.8505             
0.3665         2.97234e+24         22.7235             
0.367          2.95522e+24         22.5926             
0.3675         2.93861e+24         22.4657             
0.368          2.92201e+24         22.3388             
0.3685         2.90593e+24         22.2158             
0.369          2.88932e+24         22.0889             
0.3695         2.87324e+24         21.9659             
0.37           2.85715e+24         21.8429             
0.3705         2.84107e+24         21.72               
0.371          2.82496e+24         21.5968             
0.3715         2.80888e+24         21.4739             
0.372          2.79331e+24         21.3549             
0.3725         2.77722e+24         21.2319             
0.373          2.76166e+24         21.1129             
